	Mim109	Mim11	Mim12	Mim141	Mim143	Mim151	Mim152	Mim161	Mim162	Mim172	Mim176	Mim181	Mim182	Mim190	Mim191	Mim1	Mim201	Mim212	Mim21	Mim224	Mim228	Mim22	Mim237	Mim238	Mim250	Mim255	Mim2	Mim31	Mim32	Mim46	Mim57	Mim58	Mim66	Mim67	Mim83	Mim87	Mim93	Mim97	Mim98
365415	2	6	0	4	2	5	4	0	3	4	9	0	0	0	0	3	0	0	0	0	0	8	2	2	1	0	7	2	2	1	1	1	1	0	1	0	2	1	4
OTU_dn_929	1	1	4	14	10	12	7	2	2	1	1	6	9	3	5	3	0	11	0	8	5	0	0	6	3	3	3	0	0	1	3	1	0	0	7	2	2	4	2
256823	6	2	0	0	1	5	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0
224548	10	32	29	31	24	41	34	16	41	22	23	4	4	2	2	14	0	6	33	27	42	22	42	36	28	29	17	25	19	25	67	37	30	28	24	3	11	24	18
OTU_dn_3524	2	0	0	0	0	1	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0
OTU_dn_1130	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	1	0	0	1	0	0	0	0	3	3	4	18	5	11	2	7	3	4	2	1	4
OTU_dn_12652	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
972343	2	0	0	3	6	12	3	13	13	4	14	6	4	10	4	0	0	5	0	7	10	0	13	2	2	12	0	0	4	0	0	0	0	0	2	0	0	0	0
212151	0	1	0	6	13	23	2	6	6	11	22	23	18	23	22	0	0	4	1	11	1	0	0	5	11	4	0	0	0	0	1	0	0	0	0	2	0	0	0
4381458	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0	0	0	0	1	0	3	1	0	2	0	1	2	1	0	0
1069213	2	2	3	31	21	44	26	25	40	25	36	1	6	2	11	1	0	1	10	30	34	1	58	24	11	15	2	4	12	9	6	16	30	6	5	3	3	2	7
OTU_dn_648	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	21	0	0	0	0	0	0	0	1	0	12	0
125555	7	7	4	0	0	0	0	1	2	0	0	0	0	0	0	12	0	0	2	1	1	0	0	0	0	0	8	6	8	9	2	6	1	0	5	7	5	3	8
OTU_dn_1806	0	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	4	0
515709	6	2	2	29	27	28	20	8	20	12	10	16	13	20	13	1	0	15	2	13	5	1	9	16	9	6	1	2	2	5	0	0	3	5	1	3	1	2	5
OTU_dn_7624	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
248526	4	4	1	0	1	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	0	12	0	0	0	0	9	0	10	0	0	0	10	1	6	0	3	1	13
347934	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	0	2	0	0	4	0	0	0
4352292	3	7	2	6	13	7	14	3	4	7	6	4	8	5	14	8	0	7	8	7	3	4	11	6	10	6	13	5	16	7	2	8	13	6	6	10	5	10	11
542453	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
509119	0	0	0	0	0	1	0	0	2	0	3	0	0	0	0	2	0	0	2	0	0	0	0	1	1	1	0	0	3	0	0	0	0	0	0	3	1	2	1
4080005	4	0	13	15	9	3	3	3	5	7	3	14	0	6	2	4	0	3	11	11	2	13	18	16	8	1	2	4	2	0	0	2	0	3	4	2	8	2	0
3609950	5	3	3	16	14	12	12	2	3	7	5	20	9	13	12	2	0	4	10	11	5	7	6	5	14	1	2	6	1	1	7	5	5	13	3	3	6	4	2
4112169	1	1	9	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	2	0	0	0	0	3	0	0	2	1	3	5	1	2	0	0	0	1
OTU_dn_11683	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_dn_8659	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0
265094	5	0	0	2	2	3	11	1	6	2	0	0	3	7	0	0	0	2	1	0	2	1	2	3	0	4	4	5	4	5	0	6	6	1	0	0	1	3	6
OTU_dn_4534	5	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0
OTU_dn_1482	2	0	0	0	0	0	0	0	0	0	0	3	3	5	5	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_dn_9058	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	2
OTU_dn_1850	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	4	0	0	1	0	0	0	0	4	1	0	0	0	0	0	0	0	6	1	0	2
OTU_dn_5962	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
567336	1	2	1	5	1	6	5	18	24	5	28	3	17	18	16	2	0	27	1	44	34	1	12	6	10	5	1	2	2	0	0	0	0	2	0	2	2	1	2
OTU_dn_12300	2	11	2	0	0	0	1	0	0	2	0	0	0	1	0	3	0	0	2	2	1	5	0	1	4	2	0	2	1	19	72	31	8	13	1	2	2	2	0
558858	7	7	14	27	8	12	16	20	25	17	9	6	7	3	6	11	0	10	7	28	20	5	56	31	13	18	4	10	24	13	12	17	13	11	6	9	4	5	22
547544	4	23	16	0	1	1	0	0	0	1	3	0	0	0	0	1	0	0	11	0	0	18	0	0	1	2	6	1	3	26	105	30	15	27	1	1	6	2	6
246619	4	8	4	2	3	6	13	6	4	3	3	1	2	2	1	9	0	2	9	3	6	7	3	1	5	8	10	9	8	3	4	6	11	9	8	6	1	2	8
OTU_dn_3538	1	0	1	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0
76374	1	0	0	2	0	1	0	1	0	0	0	4	2	2	11	0	0	0	0	2	1	0	0	1	3	4	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU_dn_12544	2	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
1121270	14	34	57	10	8	10	15	12	6	5	34	5	5	2	3	64	3	4	85	9	13	37	18	9	17	14	31	33	8	115	137	165	126	175	24	27	16	50	19
4468329	1	0	0	5	7	18	2	5	4	1	14	6	7	7	4	0	0	5	0	9	4	0	0	4	13	2	1	1	0	1	0	13	4	7	1	1	0	1	0
OTU_dn_151	7	10	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	13	0	0	18	0	0	0	0	4	42	0	0	0	0	0	0	9	1	3	33	0
937735	12	3	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	4	0	0	5	0	0	0	0	11	8	5	3	0	4	0	2	2	8	2	7	10
3937304	6	30	59	31	42	21	20	45	31	11	39	8	6	1	1	30	0	2	37	3	16	31	11	12	22	9	13	17	5	66	56	88	75	48	6	9	9	11	5
OTU_dn_3742	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	2	3	0	0	0	0	0	0	0	0	0	1	0
929398	4	4	0	1	0	0	0	0	0	0	0	0	0	0	0	6	0	0	4	0	0	1	0	0	0	0	7	4	5	1	8	8	13	6	10	15	3	6	5
450243	2	0	0	1	0	1	0	0	0	0	2	4	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0
OTU_dn_586	5	3	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	7	0	0	1	0	0	0	0	3	4	1	0	0	0	0	0	1	4	2	7	4
OTU_dn_9505	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	1	0	0
OTU_dn_1928	2	11	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0
551999	5	7	9	2	0	3	8	6	2	4	3	4	2	1	4	10	0	0	9	1	0	8	0	1	2	4	2	3	2	20	11	5	13	5	6	0	8	1	3
578322	11	10	0	16	21	27	14	1	7	8	19	1	1	0	2	1	0	1	1	1	2	11	2	1	9	58	2	0	26	0	0	0	0	0	1	4	6	1	17
OTU_dn_7005	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	2	2	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU_dn_450	8	5	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	2	0	0	1	0	0	0	0	14	17	6	0	2	1	5	1	8	15	4	15	10
102295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	2	1	0	0	0
93707	5	0	3	8	18	4	18	12	17	9	18	19	12	27	26	0	0	22	5	14	9	5	17	8	15	5	1	1	0	0	9	0	0	2	1	2	2	1	0
519955	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
1638797	2	3	4	1	0	0	0	0	1	0	0	0	0	0	0	4	0	0	6	0	0	2	0	0	0	1	4	2	0	3	7	3	3	2	0	0	1	3	0
946052	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	1	6	0	2	3
782387	2	1	1	3	1	1	0	3	0	3	4	0	0	0	0	0	0	0	0	0	0	3	0	1	5	4	0	1	0	25	3	8	17	15	1	0	0	0	0
1038865	1	0	0	2	0	0	0	4	1	1	7	0	0	2	0	0	0	0	0	14	32	0	0	9	6	2	1	2	2	5	18	5	14	2	0	0	0	1	1
551567	5	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
791214	2	1	0	2	5	8	0	4	6	21	8	24	13	19	20	3	0	5	0	12	2	1	6	4	14	2	0	0	1	0	0	0	1	4	0	0	3	1	1
4385959	1	3	0	2	3	0	2	1	0	0	0	2	0	0	0	2	0	0	2	1	0	1	0	0	0	0	0	0	2	1	0	1	0	2	3	0	13	2	5
510547	3	0	1	2	13	15	6	4	15	6	1	0	3	0	0	3	0	1	0	4	2	0	14	5	1	6	0	3	10	0	3	0	0	1	1	1	3	2	1
OTU_dn_6627	2	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0
105600	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	1	2	4	11	0
OTU_dn_462	4	9	25	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	7	0	0	1	0	0	0	0	3	9	0	10	15	1	5	8	9	5	15	4	2
4394922	1	0	0	4	2	3	0	5	2	1	0	15	1	7	11	8	0	2	0	4	2	1	0	3	1	4	1	0	16	0	0	1	2	3	1	3	1	0	17
OTU_dn_3035	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	1	1	0	0	3	4	4	2	0	0	2	0	0
OTU_dn_11684	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_dn_1998	1	0	0	5	1	4	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	1	1	0	0	1	0	0	0	0	0	3	0	0	0
2694602	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	3	3	3	0	2
713738	3	0	1	5	0	1	0	0	0	0	0	0	0	0	0	1	0	0	5	0	0	3	0	0	1	2	4	3	1	4	7	8	2	1	4	4	2	6	1
1086554	4	0	9	4	2	0	0	0	2	0	0	0	1	0	0	0	0	0	6	0	0	10	0	0	0	0	11	3	4	0	1	1	2	3	3	3	8	0	8
136265	3	4	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	7	0	1	3	0	0	0	0	8	8	1	0	2	2	1	0	1	2	3	1	4
OTU_dn_3710	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	1	0	0	0	2	0	1	0
OTU_dn_1095	1	0	0	6	3	3	3	0	0	2	2	1	1	0	1	0	0	1	3	1	1	3	1	1	5	0	0	0	0	0	0	5	4	10	3	1	0	3	0
OTU_dn_3703	2	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0
573290	6	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	8	0	1	0	3	3	1	1	0	0
970359	7	0	13	6	1	3	1	0	4	0	1	9	2	7	2	16	0	1	24	0	0	19	1	2	1	1	4	8	4	0	0	0	0	0	8	10	7	16	3
553562	16	22	4	6	5	5	7	5	13	3	7	0	0	3	0	15	2	0	7	0	0	15	3	1	3	1	26	11	29	3	2	16	16	9	9	21	12	10	39
OTU_dn_1858	1	1	1	1	0	0	1	1	0	0	1	0	2	0	0	2	0	0	2	0	2	0	0	0	1	0	1	0	1	5	0	1	1	6	3	4	1	1	2
3993340	1	2	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	3	2	1	6	3	3	4	2	2	3	0	1	0
810126	2	0	0	3	1	4	1	0	0	4	0	0	0	0	0	0	0	0	1	0	1	2	1	2	1	1	0	0	0	0	0	0	0	2	1	0	0	0	0
1142871	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	17	0	0	0	0	7	0	3	1	4	2	1	3	1	0	2	1	6
OTU_dn_4918	3	1	1	0	1	3	1	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	3	3	1	0	2	1	0	0	0	0
189438	2	0	1	0	0	0	0	3	0	0	2	0	0	1	0	0	1514	0	0	1	0	0	0	0	1	0	0	0	1	1	1	1	0	2	0	0	0	0	0
4428066	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
4303029	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	2	1	5	1	2
550247	1	5	59	5	9	11	2	3	2	2	6	3	6	1	4	16	0	1	34	1	3	38	0	5	1	2	0	5	0	10	1	9	1	3	4	29	3	2	0
566646	2	0	2	3	4	2	0	1	2	0	0	2	1	6	6	0	0	0	6	0	0	3	0	0	0	0	8	0	12	1	0	0	0	2	0	0	6	2	8
OTU_dn_6712	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
113209	8	1	5	3	1	1	2	1	5	1	5	0	0	0	0	5	0	1	6	2	0	6	6	1	1	1	8	1	4	4	0	5	2	4	1	5	3	4	5
527906	1	0	0	1	3	6	0	2	9	0	1	3	3	1	2	0	0	5	0	4	3	0	3	4	1	7	0	0	0	0	0	0	0	0	0	0	1	0	1
OTU_dn_4303	1	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	3	1	6	0
588961	4	4	0	0	2	1	1	0	0	1	0	1	0	0	0	0	0	3	1	0	3	0	1	0	2	0	6	2	9	3	1	1	6	2	2	0	0	0	15
1108830	10	4	2	2	0	1	2	3	3	1	1	0	5	4	3	10	0	7	0	4	2	6	2	0	3	1	7	6	6	2	3	6	19	2	6	8	0	9	10
OTU_dn_139	0	0	0	6	5	8	6	1	6	4	6	1	1	2	4	0	0	1	0	3	3	0	21	3	5	32	0	0	0	0	0	0	0	0	0	0	0	0	0
538751	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
1054879	4	3	4	0	0	0	0	0	0	1	0	0	0	0	0	13	0	0	7	0	2	6	0	0	0	0	9	10	8	0	1	1	2	2	5	2	4	5	11
213088	4	7	0	0	0	0	3	0	4	0	0	0	0	0	0	3	0	0	5	0	0	5	0	0	0	0	5	2	0	0	0	0	0	0	1	5	14	3	2
OTU_dn_1900	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0
760885	6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
143658	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	6	0	3	3	0
583617	0	0	0	3	0	7	2	1	0	0	1	0	0	2	6	0	0	0	0	0	1	0	0	0	2	2	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU_dn_1083	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	9	0	8	0	2	3	2	0	0	0
4051670	7	1	3	5	5	2	1	0	6	0	5	0	1	2	0	33	0	0	4	3	0	8	6	0	1	0	13	2	7	8	2	3	4	4	3	12	11	8	6
819885	0	0	0	36	46	43	38	33	30	52	49	18	31	20	18	0	0	20	0	41	68	0	68	38	31	36	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU_dn_11909	1	1	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
242645	4	0	0	3	1	1	2	3	1	0	2	10	15	18	22	0	0	19	0	17	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	1	4	0	0
585063	3	0	0	0	1	2	0	0	0	0	0	0	1	2	3	0	0	3	0	1	1	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0
OTU_dn_561	4	0	0	2	1	1	3	4	0	4	1	2	1	0	0	0	0	2	1	0	13	2	0	3	0	5	1	1	6	5	0	3	4	2	1	3	4	3	2
OTU_dn_11203	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
113103	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	2	0	0	0	0	0	1	1	0	1	0
1143332	2	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	1	0	2	0	0	0	0	0
OTU_dn_882	7	0	0	5	1	2	0	1	1	3	2	0	2	3	1	0	0	2	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	4	4	0	0
209061	0	1	0	0	0	1	3	0	3	3	3	1	3	2	2	0	0	4	0	2	0	0	6	1	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_dn_1524	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1113302	3	4	1	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	2	0	0	1	0	0	0	0	8	1	2	3	0	0	3	4	0	2	5	1	5
367851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	1	0	0	0	1	0	0	0
154063	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	2	3	3
OTU_dn_348	1	0	0	0	1	1	0	4	0	0	1	4	2	9	8	0	0	4	0	21	5	0	5	6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU_dn_1854	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	1	2	0	0	0	0	0
673969	1	0	0	4	4	9	6	6	2	9	1	8	8	1	8	0	0	7	1	4	1	0	8	5	9	0	0	1	0	0	0	0	1	1	0	0	1	0	0
OTU_dn_2805	1	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0
208708	2	0	1	2	1	6	0	10	3	6	7	4	6	9	6	0	0	3	3	1	2	1	5	3	7	10	0	0	1	2	1	3	0	8	1	0	2	1	1
1111896	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	2	0	0	0	0	1	3	1	0	0	0	0	0	8	1	0	5	1
OTU_dn_3261	2	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0
212223	1	1	1	0	4	4	7	1	8	2	6	0	0	0	2	2	0	0	5	5	3	0	1	4	3	1	1	5	5	2	0	2	2	1	1	0	2	2	5
1032692	1	1	2	0	8	5	1	0	2	3	3	2	0	0	0	0	0	1	1	2	4	0	0	1	1	7	0	3	12	0	0	0	0	0	0	1	2	1	12
OTU_dn_2239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	1	0	0	0	0	0	6	2	1	0	0	2	1	3	1	0	4	0	0
581733	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
798634	8	8	6	9	11	4	9	16	9	9	10	7	10	10	14	17	0	12	1	15	9	8	14	18	14	19	15	17	4	4	1	9	8	7	17	8	6	7	6
243070	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
1080447	5	18	13	8	23	29	79	43	41	40	35	35	32	42	37	8	0	51	6	48	40	9	79	41	46	29	1	12	9	16	44	5	10	3	7	11	6	10	6
112277	5	8	5	1	0	0	0	0	0	0	0	0	0	0	0	5	0	0	4	0	0	5	0	0	0	0	9	12	3	12	3	6	6	4	5	1	1	12	6
OTU_dn_11294	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
247024	4	4	4	1	0	0	0	1	0	0	0	0	0	1	1	1	0	0	5	0	0	2	0	0	1	1	1	0	0	2	0	1	3	6	1	3	0	1	0
113170	6	4	6	0	0	1	3	3	4	2	3	0	0	0	1	5	0	1	10	1	1	1	3	3	1	1	4	7	1	7	1	3	4	6	1	2	2	2	1
OTU_dn_9725	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	3	0	0	4	0
OTU_dn_1274	0	0	0	1	0	1	0	2	1	7	0	0	0	1	0	0	0	0	0	0	2	0	0	2	1	1	0	0	1	0	1	0	0	1	0	2	0	0	4
423327	0	0	0	3	1	8	3	0	0	0	4	1	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0
817586	3	0	0	25	19	15	6	5	6	2	2	0	6	5	8	0	0	8	0	2	1	0	1	2	10	43	0	0	0	0	0	0	0	0	0	0	2	0	0
235825	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	1	0	0	0	0	8	16	9	0	0	2	2	4	5	1	3	29	11
48147	2	0	0	3	5	6	1	4	2	2	5	6	3	3	2	0	0	3	2	5	1	3	1	4	3	2	0	0	0	1	0	0	2	0	0	1	0	1	0
622364	1	3	4	4	1	1	1	6	0	6	2	0	5	7	2	2	0	6	5	9	2	5	2	2	2	0	0	0	0	3	3	1	0	1	0	0	0	0	0
OTU_dn_365	3	7	5	0	0	2	0	0	0	0	0	2	6	2	5	2	0	4	2	0	0	15	0	0	0	0	3	8	6	5	0	2	2	0	6	5	6	4	10
839235	7	4	0	2	8	12	225	0	1	18	10	0	0	2	1	1	0	10	13	0	2	4	1	1	7	25	0	4	21	5	5	0	3	4	2	58	4	7	20
3627262	7	0	0	10	12	9	11	18	19	8	12	23	16	26	14	0	0	39	1	18	9	0	38	6	20	15	0	0	0	0	0	0	0	0	2	3	5	0	0
1068470	3	0	0	0	0	0	0	4	5	0	5	1	5	4	14	0	0	7	0	14	14	0	0	14	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0
856926	3	12	11	4	1	2	0	0	0	2	0	0	1	0	0	1	0	0	4	0	2	4	0	1	2	0	10	10	13	0	1	1	5	3	0	5	4	11	3
581763	10	17	2	22	26	53	30	11	12	11	11	28	21	15	14	1	0	10	1	23	42	17	8	72	15	14	2	2	3	1	1	3	0	1	6	5	16	2	5
347880	1	1	3	0	6	1	0	2	0	2	4	0	3	2	0	3	0	1	8	5	0	1	5	0	6	3	2	2	2	3	0	3	4	8	3	2	1	4	2
4330792	4	3	0	6	2	2	5	4	1	2	3	0	1	0	0	4	0	0	2	0	0	3	1	1	0	0	5	0	15	0	0	0	0	0	1	3	1	0	10
1056445	0	0	0	11	3	0	1	0	2	5	0	3	2	0	0	0	0	0	0	3	4	0	3	0	0	0	2	0	7	0	0	6	5	4	1	0	0	0	3
1048850	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	12	7	3	1	0
169793	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	8	2	0	0
74832	7	3	0	26	8	13	22	13	19	8	14	10	8	10	19	10	0	12	2	25	6	0	6	6	20	9	5	0	3	2	4	2	5	9	7	3	21	0	4
2972179	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	2	0	0	2	0	0	0	5	0	0	0	0	0	1	0	1	1	2
816282	7	2	0	2	21	17	16	0	20	11	30	4	5	5	3	2	0	8	0	2	47	0	28	22	9	45	1	0	10	0	0	0	1	4	1	5	2	4	16
1088618	3	8	8	0	1	3	1	0	3	3	5	0	2	1	4	8	0	3	2	2	3	1	6	3	2	7	3	2	9	10	6	15	13	16	1	3	4	2	3
OTU_dn_2256	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	3	0	0
OTU_dn_10954	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
